日期時間,自動氣象站,午夜至現時的最高氣溫（攝氏）,午夜至現時的最低氣溫（攝氏）
202608180120,赤鱲角,30.4,29.7
202608180120,長洲,27.7,27.5
202608180120,清水灣,27.7,27.6
202608180120,跑馬地,29.5,29.2
202608180120,天文台,29.4,29.1
202608180120,香港公園,28.9,28.7
202608180120,啟德跑道公園,29.3,29.2
202608180120,滘西洲,27.2,26.8
202608180120,京士柏,28.6,28.4
202608180120,九龍城,28.6,28.3
202608180120,觀塘,28.4,28.2
202608180120,流浮山,28.1,27.9
202608180120,昂坪,25.1,24.3
202608180120,北潭涌,26.0,25.8
202608180120,坪洲,28.0,27.7
202608180120,西貢,28.6,28.1
202608180120,沙田,28.1,27.5
202608180120,深水埗,28.9,28.4
202608180120,筲箕灣,28.1,27.9
202608180120,石崗,28.2,27.5
202608180120,上水,28.0,27.4
202608180120,赤柱,28.2,28.0
202608180120,打鼓嶺,27.2,26.8
202608180120,大隴,27.3,26.6
202608180120,大美督,26.9,26.8
202608180120,大帽山,21.7,21.4
202608180120,大埔,27.4,27.1
202608180120,大老山,24.2,23.8
202608180120,山頂,25.9,25.6
202608180120,將軍澳,28.0,27.5
202608180120,青衣,29.0,28.8
202608180120,荃灣可觀,26.0,25.8
202608180120,荃灣城門谷,27.5,26.9
202608180120,屯門,28.7,28.4
202608180120,橫瀾島,28.0,27.6
202608180120,濕地公園,27.3,27.1
202608180120,黃竹坑,29.3,29.0
202608180120,黃大仙,29.2,28.7
202608180120,元朗公園,27.8,27.6
